Chapter,Class,Subject,category,correct_ans,opt_1,opt_2,opt_3,question,serialno
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,রেসকোর্স ময়দানে,পল্টন ময়দানে,আরমানিটোলা মাঠে,কদমতলী মাঠে,৭ মার্চ বঙ্গবন্ধু কোথায় ঐতিহাসিক ভাষণ দিয়েছিলেন?,1641
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,গোপালগঞ্জ মিশনারি স্কুল থেকে,ইসলামিয়া কলেজ,কলকাতা বিশ^বিদ্যালয়,ঢাকা বিশ^বিদ্যালয়,বঙ্গবন্ধুর রাজনৈতিক জীবন শুরু হয় কোন স্কুল থেকে?,1642
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,গ্রন্থাগার,জাদুঘর,স্কুল,আওয়ামী লীগ অফিস,বর্তমানে বেকার হোস্টেলের ২৩ নম্বর রুমটি কী হিসেবে ব্যবহৃত হয়?,1643
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,তোফায়েল আহমেদ,আ. স. ম. আব্দুর রব,তাজউদ্দীন আহমদ,কার প্রস্তাবক্রমে ‘সর্বদলীয় রাষ্ট্রভাষা সংগ্রাম পরিষদ’ গঠিত হয়?,1644
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"২৬ জানুয়ারি, ১৯৫২","২৬ জানুয়ারি, ১৯৫০","২৮ ফেব্রুয়ারি, ১৯৫১","১৪ ফেব্রুয়ারি, ১৯৫২",খাজা নাজিমউদ্দিন কত তারিখে ঘোষণা করেন ‘পাকিস্তানের রাষ্ট্রভাষা হবে উর্দু?,1645
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৩ দিন,১০ দিন,১৪ দিন,১৫ দিন,বঙ্গবন্ধু জেলখানায় একটানা কত দিন অনশন অব্যাহত রাখেন?,1646
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৩৬ সাল থেকে,১৯৩৮ সাল থেকে,১৯৩৯ সাল থেকে,১৯৪০ সাল থেকে,বঙ্গবন্ধু চশমা ব্যবহার শুরু করেন-,1647
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৭৫ সালের ২৬ সেপ্টেম্বর,১৯৭৫ সালে ২৫ আগস্ট,১৯৭৩ সালে ১ জুন,১৯৭৪ সালের ২৫ আগস্ট,কত তারিখে ইনডেমনিটি অধ্যাদেশ জারি করা হয়?,1648
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,আড়াই টাকা,পাঁচ টাকা,তিন টাকা,চার টাকা দুই আনা,প্রথম শ্রেণির কয়েদি হিসেবে বঙ্গবন্ধু শেখ মুজিবুর রহমান রোজ খাবার জন্য কত টাকার মতো পেতেন?,1649
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ক ও খ উভয়ই,আওয়ামী লীগ,ন্যাপ,কৃষক শ্রমিক পার্টি,"আইয়ুব খানের শাসনের বিরুদ্ধে আন্দোলনে কোন কোন রাজনৈতিক দলকে আন্দোলন করতে বলে, ‘কারাগারের রোজনামচা’য় বঙ্গবন্ধু শেখ মুজিবুর রহমান উল্লেখ করেছেন?",1650
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৫২ পৃষ্ঠা,৩২০ পৃষ্ঠা,২০০ পৃষ্ঠা,১৭৫ পৃষ্ঠা,বঙ্গবন্ধু শেখ মুজিবুর রহমান ‘কারাগারের রোজনামচা’র ৩য় খ্ডের মূল পাণ্ডুলিপির ৩২০ পৃষ্ঠা খাতায় কত পৃষ্ঠা পর্যন্ত লিখতে পেরেছিলেন?,1651
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৫ মাস,২ মাস,৩ মাস,৭ মাস,বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯৬৮ সালে আগরতলা মামলায় গ্রেফতারকৃত থাকার সময় কতদিন পর লেখার জন্য খাতা পেয়েছিলেন?,1652
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৩ জন,৫ জন,৪ জন,৭ জন,১৯৫৬ সালে খাদ্যের দাবিতে ভুখামিছিল বের করা হলে চকবাজার এলাকায় পুলিশের গুলিতে কতজন নিহত হন?,1653
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,হেনরি ডেভিড থরো,স্যার মহম্মদ সফি,হাজী মোহাম্মদ দানেশ,১৯৬৮ সালে সাম্প্রদায়িক দাঙ্গার বিরুদ্ধে দাঙ্গা প্রতিরোধ কমিটি গঠিত হয় কার নেতৃত্বে?,1654
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"৫ ডিসেম্বর, ১৯৬৯","৬ জানুয়ারি, ১৯৭০","৭ ফেব্রুয়ারি, ১৯৬৮","২২ মার্চ, ১৯৭১",বঙ্গবন্ধু শেখ মুজিবুর রহমান পূর্ব বাংলার নামকরণ ‘বাংলাদেশ’ করেন কত সালে?,1655
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৬ মার্চ,৭ মার্চ,১৭ মার্চ,২১ মার্চ,ঢাকায় ক্ষমতা হস্তান্তর প্রশ্নে মুজিব-ইয়াহিয়া বৈঠক শুরু হয় কত তারিখে?,1656
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,জয় বাংলা,খোদা হাফেজ,আমিন,ইনশাআল্লাহ্,বঙ্গবন্ধুর স্বাধীনতা ঘোষণার শেখ কথা কী ছিল?,1657
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,পাকিস্তান,সৌদি াারব,সংযুক্ত আরব আমিরাত,ইন্দোনেশিয়া,১৯৭৪ সালে ইসলামি সম্মেলন সংস্থার (ওআইসি) শীর্ষ সম্মেলনে যোগদান করতে বঙ্গবন্ধু কোথায় গমন করেন?,1658
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৬ জন,৫ জন,৭ জন,৪ জন,বঙ্গবন্ধুর মৃত্যুদ- প্রাপ্ত ঘাতকদের মধ্যে কতজন এখনও পলাতক আছে?,1659
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৬২ সালে,১৯৬১ সালে,১৯৬৪ সালে,১৯৬৩ সালে,গণতান্ত্রিক ফ্রন্ট গঠিত হয় কত সালে?,1660
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৮৮টি,১৭৭টি,১৬৯টি,১৬৭টি,আওয়ামী লীগ ১৯৭০ সালের সাধারণ নির্বাচনে প্রাদেশিক পরিষদে কতটি আসন লাভ করে?,1661
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১২.০১ মিনিট,১২.০১ মিনিট,১২.১৬ মিনিট,১২.২৬ মিনিট,বঙ্গবন্ধু শেখ মুজিবুর রহমান ২৫ মার্চ এ রাতের কোন সময় বাংলাদেশের স্বাধীনতা ঘোষণা করেন?,1662
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,সৈয়দ নজরুল ইসলাম,তাজউদ্দীন আহমদ,খন্দকার মোশতাক আহমদ,স্বাধীন বাংলাদেশের প্রথম রাষ্ট্রপতি-,1663
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১ মার্চ, ’৯৭","৩ মার্চ, ’৯৭","৫ অক্টোবর, ’৯৫","১৫ আগস্ট, ’৭৫",বঙ্গবন্ধু হত্যার বিচার কার্য শুরু হয়-,1664
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৪৩ সালে,১৯৪২ সালে,১৯৪৫ সালে,১৯৪৪ সালে,বঙ্গবন্ধু শেখ মুজিবুর রহমান বেঙ্গল মুসলিম লীগে যাগ দেন কত সালে?,1665
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,২০০৯ সালে,২০০৮ সালে,২০১০ সালে,২০১২ সালে,বঙ্গবন্ধু হত্যা মামলা চূড়ান্ত রায় হয়-,1666
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,মিউজিয়াম,গ্রন্থাগার,স্কুল,আওয়ামী লীগ অফিস,বর্তমানে বেকার হোস্টেলের ২৪ নম্বর রুমটি কী হিসেবে ব্যবহৃত হয়?,1667
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,দুই ভাগে। (নিয়মিত বাহিনী ও অনিয়মিত বাহিনী),চারভাগে,এগারো ভাগে,কোনোটিই নয়,মুক্তিবাহিনীকে কত ভাগে ভাগ করা হয়েছিল?,1668
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৭ কেজি,৮ কেজি,১০ কেজি,১৫ কেজি,১৯৬৭ সালের মে মাসের দিকে ‘কারাগারের রোজনামচা’য় বঙ্গবন্ধু শেখ মুজিবুর রহমান উল্লেখ করেছেন অর্শরোগ হওয়ার জন্য তাঁর কত কেজি ওজন কমেছিল?,1669
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৪ নং ডিভিশন,৪০ ডিভিশন,২ নং ডিভিশন,৩৬ নং ডিভিশন,"বঙ্গবন্ধু ১৭ জানুয়ারি, ১৯৬৮ সালের সেনাবাহিনীর হাতে গ্রেফতারের পর কোন ডিভিশনের কাছে বন্দি ছিলেন?",1670
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,মাওলানা আব্দুল হামিদ খান ভাসানী,রবীন্দ্রনাথ ঠাকুরের,তাজউদ্দীন আহমদ,"“তোমাকে আমি ভালবাসি। মৃত্যুর পর তোমার মাটিতে যেন আমার একটু স্থান হয়, মা”। কার উক্তি?",1671
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"সেনা, নেভি ও এয়ারফোর্স আইন অনুযায়ী",বক্তৃতা দেবার জন্য,দেশরক্ষা আইনে,পুরানো মামলার জন্য,"১৭ জানুয়ারি, ১৯৬৮ সালে মধ্যরাতে বঙ্গবন্ধু কী আইনে গ্রেফতার বা কী কারণে গ্রেফতার হয়েছিলেন সেনাবাহিনীর হাতে?",1672
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,আবদুল মোমিন এডভোকেটকে,তাজউদ্দীন আহমদকে,খন্দকার মোশতাক আহমদকে,আবুর মনসুর আহমদকে,ঢাকা জেলে দীর্ঘ ১৭ মাস একাকী থাকার পর বঙ্গবন্ধু শেখ মুজিবুর রহমানের সাথে কাকে থাকতে দেওয়া হয়?,1673
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,প্রচার সম্পাদক,সাধারণ সম্পাদক,সহ-সভাপতি,কোষাধ্যক্ষ,আব্দুল মোমিন এডভোকেট ১৯৬৮ সালের দিকে আওয়ামী লীগের কোন পদে দায়িত্বপ্রাপ্ত ছিলেন?,1674
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৬২ সালে,১৯৬৫ সালে,১৯৬৯ সালে,১৯৭০ সালে,১৯৫৮ সালে পাকিস্তানে সামরিক শাসন জারির পর কত সালে এর অবসান ঘটে?,1675
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৬৬ সালে,১৯৬৪ সালে,১৯৬৫ সালে,১৯৬৯ সালে,বঙ্গবন্ধু শেখ মুজিবুর রহমান আওয়ামী লীগের সভাপতি নির্বাচিত হন কত সালে?,1676
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"৩ মার্চ, ১৯৭১","৭ মার্চ, ১৯৭১","২৬ মার্চ, ১৯৭১","১৬ ডিসেম্বর, ১৯৭১",কত তারিখে শেখ মুজিবুর রহমানকে জাতির জনক উপাধিতে ভূষিত করা হয়?,1677
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১৭ অক্টোবর, ১৯৭৩","১৩ মার্চ, ১৯৭৩","১১ মে, ১৯৭৪","২৪ জুলাই, ১৯৭২",বঙ্গবন্ধু শেখ মুজিবুর রহমান জাপান সফরে যান-,1678
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,২৩ ফেব্রুয়ারি,২৪ মার্চ,২৮ জুন,৩০ জানুয়ারি,১৯৭৪ সালে ওআইসি’র শীর্ষ সম্মেলন কত তারিখে অনুষ্ঠিত হয়?,1679
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৫৫ সালের ১৭ জুন,১৯৫৫ সালের ২৩ জুন,১৯৫৫ সালের ২৫ আগস্ট,১৯৫৫ সালের ১৮ জুলাই,আওয়ামী লীগের ২১ দফা ঘোষিত হয় কবে?,1680
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১৯ জুন, ১৯৬৮","২৩ সেপ্টেম্বর, ১৯৬৮","১৮ জুলাই, ১৯৬৯","১৪ ডিসেম্বর, ১৯৬৯",আগরতলা মামলার আসামিদের বিচারকার্য শুরু হয়-,1681
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,রেসকোর্স ময়দান,পল্টন ময়দান,ঢাকা বিশ্ববিদ্যালয় আমতলায়,রমনা পার্কে,শেখ মুজিবুর রহমানকে কোথায় ‘বঙ্গবন্ধু’ উপাধি দেওয়া হয়?,1682
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৬ ফেব্রুয়ারি,৭ জানুয়ারি,২১ এপ্রিল,১০ জুন,ভারত সরকারের আমন্ত্রণে বঙ্গবন্ধু দেশ স্বাধীন হওয়ার পর প্রথম ভারত সফর করেন কত তারিখে?,1683
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"৮ নভেম্বর, ১৯৯৮","৩ নভেম্বর, ১৯৯৮","৫ জানুয়ারি, ১৯৯৯","১ মার্চ, ১৯৯৭",বঙ্গবন্ধু হত্যার রায় ঘোষণা হয় কবে?,1684
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৩৭ সালে,১৯৩৮ সালে,১৯৩৫ সালে,১৯৪০ সালে,বঙ্গবন্ধু শেখ মুজবিুর রহমানের শিক্ষাজীবন চার বছর বন্ধ থাকার পর পুনরায় তিনি কত সালে শুরু করেন?,1685
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৪২ সালে,১৯৪৪ সালে,১৯৪৫ সালে,১৯৪৬ সালে,বঙ্গবন্ধু শেখ মুজিবুর রহমান কত সালে ম্যাট্রিকুলেশন পরীক্ষা পাশ করেন?,1686
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৪৭ সালে,১৯৪৩ সালে,১৯৪৪ সালে,১৯৪৫ সালে,শেখ মুজিবুর রহমান মুসিলম লীগ থেকে পদত্যাগ করেন কত সালে?,1687
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,২৩ জুন,২৩ মার্চ,২৫ মার্চ,১১ জুলাই,পাকিস্তান আওয়ামী মুসলিম লীগ কত তারিখে প্রতিষ্ঠিত হয়?,1688
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১ মার্চ, ১৯৬৬","১ মার্চ, ১৯৬৫","১ জুন, ১৯৬৬","৩ ফেব্রুয়ারি, ১৯৩৬",বঙ্গবন্ধু কবে আওয়ামী লীগের সভাপাতি নির্বাচিত হন?,1689
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,একজনেরও না,১ জনের,২১ জনের,বঙ্গবন্ধু বাদে সবার,আগরতলা ষড়যন্ত্র মামলায় কতজনের বিচার হয়েছিল?,1690
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,প্রফেসর সাইদুর রহমান সাহেব,প্রফেসর আব্দুল হালিম,আকতার আহম্মদ খান,আতাউর রহমান,১৯৪২ সালে বেকার হোস্টেলের সুপারিনটেনডেন্ট কে ছিলেন?,1691
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"৭ অক্টোবর, ১৯৫৮","১০ অক্টোবর, ১৯৫৯","১১ জুলাই, ১৯৫৭","১২ আগস্ট, ১৯৫৮",পাকিস্তানের সামারিক বাহিনীর প্রধান মেজর জেনারেল আইয়ুব খান সামরিক শাসন জারি করেন এবং রাজনীতি নিষিদ্ধ ঘোষণা করেন?,1692
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১৬ ডিসেম্বর, ১৯৭২","৩০ অক্টোবর, ১৯৭২","১৬ ডিসেম্বর, ১৯৭৩","২৬ মার্চ, ১৯৭২",বাংলাদেশের সংবিধান কার্যকর হয়-,1693
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"২৪ সেপ্টেম্বর, ১৯৭৪","২৪ সেপ্টেম্বর, ১৯৭৫","২৫ অক্টোবর, ১৯৭৩","২৭ সেপ্টেম্বর, ১৯৭৪",জাতিসংঘের সাধারণ পরিষদের অধিবেশনে বঙ্গবন্ধু বাংলায় ভাষণ দেন-,1694
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১৭ এপ্রিল, ১৯৭১","১০ এপ্রিল, ১৯৭১","২৬ মার্চ, ১৯৭১","৭ মার্চ, ১৯৭১",কত তারিখে বাংলাদেশকে ১১টি সেক্টরে ভাগ করা হয়?,1695
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,শেখ মুজিবুর রহমান,খন্দকার মোশতাক আহমেদ,গোলাম মোহাম্মদ খান লুন্দখোর,মাওলানা আব্দুল হামিদ খান ভাসানী,“পাষাণ প্রাচীর ঘেরা এই কারাগারের বন্দি কয়েদিরাও আজ চায় নিজের অধিকার নিয়ে বাঁচতে। তারাও বুঝতে শুরু করেছে তাদের শোষণ করছে কোনো এক অঞ্চলের এক শোষকগোষ্ঠী”। ‘কারাগারের রোজনামচা’য় এই কথাগুলো বলেছেন কে?,1696
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৪ ফিট,১৮ ফিট,১২ ফিট,৮ফিট,শেখ মুজিবুর রহমান ঢাকা সেন্ট্রাল জেলে ১৯৬৬-৬৭ সালে থাকার সময় কারাগার কত ফিট দেওয়াল ঘেরা ছিল বলে তিনি ‘কারাগারের রোজনামচা’য় উল্লেখ করেছেন?,1697
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৪ নং,৩২ নং,১৪ নং,২ নং,বঙ্গবন্ধু শেখ মুজিবুর রহমান ১৯৬৮ সালে কুর্মিটোলা অফিসার মেসের কত নং রুমে আটক ছিলেন?,1698
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,ভাসানী,মোনায়েম খান,তাজউদ্দীন আহমদ,"“জীবনভর প্রকাশ্যভাবে রাজনীতি করেছি। বক্তৃতা করে বেড়াইয়াছি, গোপন কিছুই করি না বা জানি না। সত্য কথা সোজাভাবে বলেছি তাই সোজাসুজি জেলে চলে গিয়াছি”। কে বলেছিলেন?",1699
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১২ টায়,১০ টায়,৯ টায়,১১ টায়,১৯৬৮ সালে ১৭ জানুয়ারি ঢাকা কেন্দ্রীয় কারাগার থেকে শেখ মুজিবুর রহমানকে রাত কয়টায় মুক্তি দেওয়া হয়?,1700
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বঙ্গবন্ধু শেখ মুজিবুর রহমান,ধীরেন্দ্রনাথ দত্ত,গোপী নাথ মজুমদার,খাজা নাজিমুদ্দিন,কে পাকিস্তান গণপরিষদে ভাষণে পূর্ব বাংলার নামের পরিবর্তে পূর্ব পাকিস্তান নামকরণের জন্য গণভোটের মাধ্যমে দেওয়া রায়কে মেনে নেওয়ার দাবি জানান?,1701
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,২৫ মার্চ,২১ মার্চ,২৩ মার্চ,২২ ফেব্রুয়ারি,১৯৬৯ সালের কত তারিখে সামরিক শাসক জেনারেল আইয়ুব খানের পতন হয়?,1702
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,সৈয়দ নজরুল ইসলাম,বঙ্গবন্ধু শেখ মুজিবুর রহমান,তাজউদ্দীন আহমদ,খন্দকার মোশতাক আহমদ,মুজিবনগর সরকারের অস্থায়ী রাষ্ট্রপতি ছিলেন-,1703
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"২৫ জানুয়ারি, ১৯৭৫","২৩ ফেব্রুয়ারি, ১৯৭৪","১০ জানুয়ারি, ১৯৭২","৩০ জানুয়ারি, ১৯৭৩",বঙ্গবন্ধু শেখ মুজিবুর রহমান রাষ্ট্রপতির দায়িত্বভার গ্রহণ করেন কত সালে?,1704
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১৯৫৬ সালে,১৯৫৪ সালে,১৯৫৫ সালের ২৫ আগস্ট,১৯৭২ সালে,বঙ্গবন্ধু শেখ মুজিবুর রহমান দ্বিতীয়বার মন্ত্রী হন কত সালে?,1705
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,লাহোরে,ঢাকায়,করাচিতে,রাওয়ালপিণ্ডিতে,বঙ্গবন্ধু শেখ মুজিবুর রহমান ঐতিহাসিক ৬ দফা দাবি পেশ করেন কোথায়?,1706
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"৭ মার্চ, ১৯৭১","৭ জানুয়ারি, ১৯৭১","৭ মার্চ, ১৯৭০","৭ জুন, ১৯৭০",বঙ্গবন্ধু শেখ মুজিবুর রহমান তাঁর ঐতিহাসিক ভাষণ প্রদান করেন--- তারিখে।,1707
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,মৃত্যুদণ্ড,যাবজ্জীবন সশ্রম কারাদণ্ড,গুলি করে হত্যা,বিদেশে নির্বাসন,বঙ্গবন্ধু শেখ মুজিবুর রহমানকে গোপন বিচার করে কি শাস্তি দেওয়া হয়?,1708
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ভি.ভি. গিরি,ইন্দিরা গান্ধী,মহাত্মা গান্ধী,সুভাস চন্দ্র বসু,দিল্লিতে যাত্রাবিরতিকালে বঙ্গবন্ধুকে ভারতের কোন রাষ্ট্রপতি স্বাগত জানান?,1709
